,Northwest,Northwest,Northwest,Northwest,North Center,North Center,North Center,North Center,South Center,South Center,South Center,South Center,Southeast,Southeast,Southeast,Southeast,Grace,Grace,Grace,Grace
,5 cm,5 cm,15 cm,15 cm,5 cm,5 cm,15 cm,15 cm,5 cm,5 cm,15 cm,15 cm,5 cm,5 cm,15 cm,15 cm,shallow,shallow,deep,deep
,Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%)
21,1.3551894119999999,39.37,1.465547841,38.53,1.4554590809999999,38.4,1.5031419659999998,40.51,0.90782053,46.46,0.8279421640000001,40.57,0.626613865,43.49,0.839459987,37.8,0.42326646880318997,46.27,0.6909712649835379,48.53
22,1.3899526309999999,39.09,1.5031419659999998,38.33,1.524052754,38.19,1.524052754,40.29,0.841395142,46.2,0.868960429,40.44,0.626613865,43.32,0.816582371,37.69,0.42326646880318997,45.97,0.655514603031573,48.3
23,1.435489433,38.81,1.573982864,38.12,1.5848931919999998,38.0,1.5703628040000002,40.08,0.866961876,45.94,0.8933054840000001,40.31,0.636795521,43.15,0.8203515440000001,37.53,0.43330681637486396,45.67,0.661228469418793,48.06
24,1.475706533,38.51,1.606941253,37.9,1.606941253,37.8,1.633051948,39.79,0.9246981740000001,45.7,0.8953647659999999,40.17,0.656145266,42.97,0.839459987,37.35,0.45304909374244506,45.39,0.6909712649835379,47.8
25,1.5031419659999998,38.21,1.6443717230000001,37.67,1.625548756,37.59,1.682674061,39.45,0.946237161,45.47,0.897428795,40.02,0.660693448,42.79,0.839459987,37.17,0.45781861584186406,45.09,0.6909712649835379,47.53
26,1.531087462,37.91,1.6788040180000001,37.41,1.6710906140000001,37.38,1.7021585080000001,39.14,0.9527961640000001,45.25,0.905732601,39.84,0.665273156,42.6,0.849180475,36.99,0.462671934325135,44.77,0.7066111319062349,47.26
27,1.5595525030000001,37.59,1.7179083869999998,37.13,1.6672472130000002,37.15,1.737800829,38.85,0.9616122779999999,45.03,0.920449572,39.65,0.671428853,42.39,0.824138115,36.8,0.46927655018656395,44.43,0.6670188618525551,47.0
28,1.5922087269999998,37.26,1.753880502,36.84,1.6904409319999998,36.92,1.798870915,38.49,0.9749896379999999,44.8,0.931107875,39.48,0.6729766559999999,42.18,0.8279421640000001,36.6,0.470952011317703,44.08,0.672887040394766,46.73
29,1.625548756,36.92,1.786487575,36.55,1.737800829,36.67,1.840772001,38.14,0.984011106,44.57,0.939723311,39.29,0.6886522959999999,41.96,0.831763771,36.39,0.488261292013819,43.76,0.678834288835943,46.46
30,1.6595869069999998,36.57,1.8155156630000002,36.26,1.770108958,36.41,1.887991349,37.8,0.9977000640000001,44.34,0.9506047940000001,39.11,0.701455298,41.73,0.831763771,36.17,0.502869502748712,43.48,0.678834288835943,46.19
31,1.6943378,36.23,1.845015419,35.96,1.8323144219999998,36.12,1.940885878,37.39,1.002305238,44.11,0.939723311,38.9,0.6683439179999999,41.51,0.847227414,35.94,0.46595493738913296,43.19,0.703440573141789,45.91
32,1.725837892,35.87,1.8749945080000001,35.62,1.8793168169999999,35.82,1.990673339,37.0,1.0092528859999998,43.87,0.9506047940000001,38.68,0.666806769,41.29,0.862978548,35.69,0.464308644032095,42.92,0.7294214795503041,45.62
33,1.761976046,35.48,1.905460718,35.28,1.9098532590000001,35.53,2.046444637,36.63,1.018591388,43.62,0.972747224,38.45,0.699841996,41.05,0.874983775,35.42,0.5010049260285739,42.63,0.7498661942257041,45.35
34,1.803017741,35.05,1.940885878,34.95,1.940885878,35.23,2.098939884,36.22,1.0209394840000001,43.36,0.9506047940000001,38.21,0.7046930690000001,40.81,0.874983775,35.16,0.506632526910201,42.33,0.7498661942257041,45.06
35,1.8323144219999998,34.63,1.97696964,34.63,1.986094917,34.92,2.152781735,35.76,1.0092528859999998,43.09,0.9616122779999999,37.95,0.72443596,40.55,0.866961876,34.89,0.530195405549537,42.02,0.7361424733084521,44.74
36,1.866379691,34.21,2.009092813,34.28,2.0370420780000003,34.61,2.21309471,35.3,1.023292992,42.81,1.0,37.67,0.741310241,40.29,0.87096359,34.62,0.551201309927842,41.71,0.7429568479208142,44.43
37,1.914255925,33.78,2.051162179,33.88,2.0796966869999998,34.3,2.254239212,34.9,1.0495424290000002,42.54,1.011579454,37.38,0.746448758,40.02,0.8933054840000001,34.35,0.5577617884665289,41.39,0.7821777972669001,44.1
38,1.958844674,33.31,2.089296131,33.48,2.1232444619999997,33.96,2.269864852,34.54,1.056817509,42.28,1.0209394840000001,37.09,0.758577575,39.75,0.8994975820000001,34.06,0.5735583081242839,41.08,0.793409839335937,43.76
39,2.004472027,32.8,2.1232444619999997,33.09,2.167704105,33.6,2.3014418169999997,34.15,1.066596121,41.99,1.018591388,36.82,0.779830111,39.46,0.90782053,33.78,0.602323920575508,40.76,0.808761613462399,43.42
40,2.046444637,32.26,2.152781735,32.73,2.21309471,33.22,2.355049284,33.7,1.078946722,41.67,1.03038612,36.56,0.781627805,39.16,0.920449572,33.48,0.6048223134101489,40.42,0.8326252402911949,43.04
41,2.094112456,31.69,2.1827299119999997,32.35,2.2646443080000003,32.83,2.398832919,33.31,1.086425624,41.32,1.0495424290000002,36.29,0.785235635,38.86,0.931107875,33.17,0.6098677031886051,40.06,0.853312043040599,42.63
42,2.13796209,31.12,2.223309891,31.9,2.31206479,32.43,2.437810818,32.94,1.0889300929999999,40.97,1.056817509,36.04,0.79250133,38.58,0.944060876,32.87,0.620156542841948,39.7,0.8791457399606791,42.19
43,2.1827299119999997,30.58,2.269864852,31.39,2.3604782330000003,32.02,2.471724145,32.5,1.0990058390000002,40.61,1.066596121,35.79,0.799834255,38.3,0.957194071,32.57,0.630716590622443,39.32,0.9061374315348589,41.74
44,2.228435149,30.03,2.31206479,30.85,2.4043628,31.6,2.506109253,32.06,1.1142945340000001,40.25,1.0764652140000002,35.53,0.809095899,37.99,0.9616122779999999,32.27,0.6443115238489411,38.93,0.915402887479514,41.28
45,2.25943577,29.54,2.355049284,30.27,2.454708916,31.17,2.552701303,31.63,1.1246049740000001,39.9,1.091440336,35.23,0.80723503,37.67,0.970509967,31.98,0.6415566781004279,38.53,0.934350811236818,40.83
46,2.285598803,29.12,2.4043628,29.65,2.500345362,30.71,2.5941793619999998,31.21,1.132400363,39.54,1.10407862,34.9,0.8128305159999999,37.34,0.979489985,31.69,0.649876025865195,38.15,0.953871745933726,40.37
47,2.31206479,28.71,2.4434305530000002,29.05,2.546830253,30.24,2.6363313859999997,30.86,1.142878335,39.17,1.116863248,34.56,0.831763771,37.01,0.988553095,31.4,0.678834288835943,37.76,0.9739868535487379,39.9
48,2.333458062,28.3,2.4660393369999998,28.54,2.588212915,29.76,2.679168325,30.38,1.156112242,38.79,1.129795915,34.24,0.849180475,36.67,0.993116048,31.11,0.7066111319062349,37.35,0.9842740788902751,39.41
49,2.3604782330000003,27.9,2.488857318,28.07,2.6363313859999997,29.3,2.722701308,29.85,1.169499391,38.41,1.142878335,33.92,0.857037845,36.31,1.002305238,30.8,0.719511674478244,36.94,1.00532211908049,38.93
50,2.393315756,27.49,2.523480772,27.59,2.679168325,28.85,2.773320105,29.3,1.183041556,38.0,1.156112242,33.57,0.868960429,35.95,1.013911386,30.48,0.7395378885537741,36.53,1.0325507013038802,38.42
51,2.4210290469999998,27.06,2.558585887,27.08,2.722701308,28.39,2.824879975,28.69,1.199499303,37.59,1.166809617,33.22,0.87096359,35.58,1.0256519259999999,30.18,0.7429568479208142,36.13,1.06084498095781,37.89
52,2.454708916,26.59,2.5941793619999998,26.56,2.773320105,27.91,2.870780582,28.11,1.21338885,37.16,1.177605974,32.85,0.872971368,35.19,1.039920166,29.86,0.7463995484448391,35.71,1.09627665502582,37.36
53,2.494594727,26.08,2.624218543,26.03,2.824879975,27.42,2.924152378,27.5,1.230268771,36.73,1.1857687479999999,32.45,0.868960429,34.8,1.0495424290000002,29.53,0.7395378885537741,35.29,1.12083692250102,36.8
54,2.529297996,25.54,2.666858665,25.49,2.870780582,26.95,2.978516429,26.89,1.2445146120000001,36.28,1.193988104,32.03,0.866961876,34.4,1.059253725,29.18,0.7361424733084521,34.84,1.14618237244363,36.23
55,2.5644840369999997,25.0,2.710191632,24.93,2.910717118,26.44,3.033891184,26.23,1.256029964,35.85,1.207813835,31.58,0.8830799000000001,33.98,1.071519305,28.82,0.763976324376812,34.38,1.17901493094944,35.69
56,2.600159563,24.46,2.7542287030000003,24.33,2.96483139,25.9,3.076096815,25.59,1.270574105,35.41,1.224616199,31.13,0.8953647659999999,33.55,1.086425624,28.44,0.785895434798485,33.92,1.22018483757114,35.17
57,2.6363313859999997,23.89,2.792543841,23.69,3.006076303,25.37,3.111716337,25.07,1.282330583,34.96,1.238796587,30.68,0.9141132409999999,33.11,1.10153931,28.02,0.8205654764554159,33.45,1.26339545439155,34.65
58,2.673006409,23.32,2.844461107,22.99,3.061963434,24.8,3.155004623,24.56,1.2971792709999999,34.47,1.253141175,30.27,0.9354056740000001,32.66,1.111731727,27.6,0.8617983812487992,33.0,1.29339663583777,34.13
